"";"data";"lugar";"media_historica_do_mes";"pluviometria_acumulada_no_mes";"pluviometria_do_dia";"volume_armazenado"
"346";"2004-12-10";"sistemaGuarapiranga";174,8;67,2;24,6;0,381
"347";"2004-12-10";"sistemaRioClaro";261,9;79,1;13,5;0,854
"348";"2004-12-10";"sistemaRioGrande";192,2;72;11,1;0,818
"349";"2004-12-11";"sistemaAltoTiete";189,1;81,9;1,6;0,274
"350";"2004-12-11";"sistemaCantareira";225,8;62,7;0,2;0,3
"351";"2004-12-11";"sistemaCotia";175,9;66,6;2,2;0,319
"352";"2004-12-11";"sistemaGuarapiranga";174,8;71,8;4,6;0,387
"353";"2004-12-11";"sistemaRioClaro";261,9;84,8;5,7;0,861
"354";"2004-12-11";"sistemaRioGrande";192,2;85;13;0,819
"355";"2004-12-12";"sistemaAltoTiete";189,1;87;5,1;0,277
"356";"2004-12-12";"sistemaCantareira";225,8;62,9;0,3;0,3
"357";"2004-12-12";"sistemaCotia";175,9;73,6;7;0,325
"358";"2004-12-12";"sistemaGuarapiranga";174,8;72,2;0,4;0,393
"359";"2004-12-12";"sistemaRioClaro";261,9;138,5;53,7;0,927
"360";"2004-12-12";"sistemaRioGrande";192,2;101,5;16,5;0,822
"361";"2004-12-13";"sistemaAltoTiete";189,1;87,1;0,1;0,279
"362";"2004-12-13";"sistemaCantareira";225,8;62,9;0;0,3
"363";"2004-12-13";"sistemaCotia";175,9;73,8;0,2;0,327
"364";"2004-12-13";"sistemaGuarapiranga";174,8;72,2;0;0,397
"365";"2004-12-13";"sistemaRioClaro";261,9;145,8;7,3;0,93
"366";"2004-12-13";"sistemaRioGrande";192,2;102;0,5;0,827
"367";"2004-12-14";"sistemaAltoTiete";189,1;87,4;0,3;0,28
"368";"2004-12-14";"sistemaCantareira";225,8;62,9;0;0,299
"369";"2004-12-14";"sistemaCotia";175,9;73,8;0;0,327
"370";"2004-12-14";"sistemaGuarapiranga";174,8;72,2;0;0,401
"371";"2004-12-14";"sistemaRioClaro";261,9;146,1;0,3;0,931
"372";"2004-12-14";"sistemaRioGrande";192,2;102,2;0,2;0,827
"373";"2004-12-15";"sistemaAltoTiete";189,1;87,4;0;0,28
"374";"2004-12-15";"sistemaCantareira";225,8;62,9;0;0,298
"375";"2004-12-15";"sistemaCotia";175,9;73,8;0;0,327
"376";"2004-12-15";"sistemaGuarapiranga";174,8;72,2;0;0,405
"377";"2004-12-15";"sistemaRioClaro";261,9;146,1;0;0,933
